compound_name,cas_number,smiles,primary_category,secondary_category,tertiary_category,primary_action,biological_description,Mol Weight
Kenpaullone,[142273-20-9],BrC1=CC=C2NC3=C(CC(=O)NC4=CC=CC=C34)C2=C1,Enzymes,Kinases,Glycogen Synthase Kinase 3,GSK-3beta inhibitor; also inhibits cdks,"GSK-3beta inhibitor (IC50 = 0.23 muM). Also inhibits cyclin dependent kinases (cdks) in the sub micromolar range (reported IC50 values are 0.4, 0.68-7 and 0.85 muM for cdk1, cdk2 and cdk5, respectively). Generates induced pluripotent stem cells (iPSCs) from somatic cells when used in combination with reprogramming factors; can replace Klf4.",327.18
KF 38789,[257292-29-8],COC1=CC=C(C2CC(=NCCS2)C2=C(O)C=C(C)OC2=O)C(OC)=C1,Extracellular Matrix and Adhesion Molecules,Cell Adhesion Molecules,,Selective inhibitor of P-selectin-mediated cell adhesion,Selective inhibitor of P-selectin-mediated cell adhesion (IC50 = 1.97 muM) that displays no effects on L-selectin- and E-selectin-mediated adhesion. Blocks P-selectin-mediated binding in vitro and leukocyte accumulation in vivo.,375.44
KG 5,[877874-85-6],NC1=NC(SC)=NC(OC(C=C4)=CC=C4C3=NN=C(N3)NC2=CC(C(F)(F)F)=CC=C2)=C1,Enzymes,Kinases,Raf Kinase,"PDGFRbeta, B-Raf, c-Raf, FLT3 and KIT inhibitor","PDGFRbeta and B-Raf allosteric inhibitor. Also inhibits c-Raf, FLT3 and KIT. Disrupts blood vessel formation in zebrafish embryos and inhibits angiogenesis in a mouse angiogenesis model. Inhibits growth of renal and pancreatic tumors in mice. Also arrests cells in prometaphase. Orally available.",459.45
KHS 101 hydrochloride,,CC(C)CNC1=NC(NCC2=CSC(C3=CC=CC=C3)=N2)=NC=C1.Cl,Stem Cells,Stem Cell Differentiation,Neural Stem Cells,Selective inducer of neuronal differentiation in hippocampal neural progenitors,Selective inducer of neuronal differentiation; induces neuronal differentiation in cultured hippocampal neural progenitor cells (NPCs) by interacting with TACC3 (EC50 ~1 muM). Suppresses astrocyte formation. Also induces acceleration of neuronal differentiation in the hippocampal dentate gyrus in vivo.,375.92
Ki 20227,[623142-96-1],O=C(NC(C)C3=NC=CS3)NC(C(OC)=C2)=CC=C2OC1=C4C(C=C(OC)C(OC)=C4)=NC=C1,Enzyme-Linked Receptors,Receptor Tyrosine Kinases (RTKs),Other RTKs,c-Fms inhibitor; suppresses osteolysis and osteoclast accumulation,"Inhibitor of c-Fms tyrosine kinase (M-CSFR, CSF1R) (IC50 values are 2, 12, 217 and 451 nM for c-Fms, VEGFR-2, PDGFRbeta and c-Kit respectively). Does not inhibit Flt3, EGFR or c-Src. Suppresses osteoclast differentiation and osteolysis in a rat bone metastasis model.",480.54
Ki 8751,[228559-41-9],COC1=C(OC)C=C2C(OC3=CC=C(NC(=O)NC4=CC=C(F)C=C4F)C(F)=C3)=CC=NC2=C1,Enzyme-Linked Receptors,Receptor Tyrosine Kinases (RTKs),VEGFR,"Potent, selective VEGFR-2 inhibitor","Potent, selective inhibitor of VEGFR-2 tyrosine kinase (IC50 = 0.9 nM). Displays some inhibitory activity towards c-Kit, PDGFRalpha and FGFR-2 (IC50 values range from 40 to 170 nM) but is highly selective over other receptor tyrosine kinases (IC50 > 10000 nM for FGFR-2, EGFR and HGFR). Inhibits VEGF-stimulated proliferation of human umbilical vein endothelial cells (HUVEC) and inhibits tumor growth in vivo; antiangiogenic.",469.41
KL 001,[309928-48-1],OC(CN(CC4=CC=CO4)S(C)(=O)=O)CN2C1=CC=CC=C1C3=C2C=CC=C3,Signal Transduction,Transcription Factors,Other Transcription Factors,Cryptochrome protein stabilizer; lengthens circadian period,Cryptochrome protein (CRY) stabilizer; blocks proteasome-mediated degradation of CRY1 and CRY2. Lengthens circadian period in mouse NIH-3T3 fibroblasts without altering casein kinase activity. Represses glucagon-induced hepatic gluconeogenesis through the induction of Pck1 and G6pc expression.,398.48
Ko 143,[461054-93-3],O=C(N[C@H]4CCC(OC(C)(C)C)=O)[C@]3([H])CC1=C([C@H](CC(C)C)N3C4=O)NC2=C1C=CC(OC)=C2,Transporters,Multidrug Transporters,,Potent and selective BCRP inhibitor,Potent and selective breast cancer resistance protein multidrug transporter (BCRP) inhibitor (EC90 = 26 nM). Displays > 200-fold selectivity over P-gp and MRP-1 transporters. Increases intracellular drug accumulation and reverses BCRP-mediated multidrug resistance. Inhibits ABCB1 and ABCC1 at higher concentrations. Rapidly metabolized in rat plasma.,469.57
KRCA 0008,[1472795-20-2],ClC1=C(NC2=C(OC)C=C(N3CCN(C(C)=O)CC3)C=C2)N=C(NC4=CC=C(N5CCN(C(C)=O)CC5)C=C4OC)N=C1,Enzyme-Linked Receptors,Receptor Tyrosine Kinases (RTKs),ALK,Potent Ack1 and ALK dual inhibitor; orally bioavailable,Potent Ack1 and anaplastic lymphoma kinase (ALK) dual inhibitor (IC50 values are 4 and 12 nM respectively). Inhibits lung cancer H3122 cell proliferation (IC50 = 80 nM). Attenuates H3122 cell xenograft tumor growth in mice. Orally bioavailable.,609.12
KS 176,[1253452-78-6],OCCC1=CC=C(NC(C2=C(NC(C3=CC=C([N+]([O-])=O)C=C3)=O)C=CC=C2)=O)C=C1,Transporters,Multidrug Transporters,,Selective BCRP inhibitor,Selective inhibitor of the breast cancer resistance protein (BCRP) multidrug transporter (IC50 values are 0.59 and 1.39 muM in Pheo A and Hoechst 33342 assays respectively). Displays no inhibitory activity against P-gp or MRP1.,405.4
KU 60019,[925701-46-8],O=C(CN4C[C@H](C)O[C@H](C)C4)NC(C=C3)=CC2=C3SC1=C(C5=CC(C=C(N6CCOCC6)O5)=O)C=CC=C1C2,Enzymes,Kinases,ATM & ATR Kinase,Potent ATM kinase inhibitor,Potent ATM kinase inhibitor (IC50 = 6.3 nM). Exhibits little to no nonspecific target effects against a panel of 229 protein kinases; displays similar target selectivity to KU 55933 (Cat. No. 3544). Inhibits migration and invasion of human glioma cells in vitro.,547.67
KU14R,[189224-48-4],CCC1(CC2=CC=CC=C2O1)C1=NC=CN1,Other Pharmacology,Imidazoline Receptors,I3 Receptors,Antagonist of pancreatic imidazoline receptor,Antagonist of the atypical imidazoline binding site (putative I3 receptor) of pancreatic beta-cells. Selectively blocks efaroxan-induced insulin secretion in vitro and in vivo.,214.27
KW 3902,[136199-02-5],O=C1C2=C(NC(C34CC(CC4C5)CC5C3)=N2)N(CCC)C(N1CCC)=O,7-TM Receptors,Adenosine Receptors,Adenosine A1 Receptors,Selective A1 antagonist,Selective adenosine A1 receptor antagonist; displays 890-fold selectivity for rat A1 receptors over A2A receptors (Ki values are 0.19 and 170 nM respectively). Displays no effect on recombinant rat A3 receptors expressed on CHO cells at concentrations up to 10 muM. Exhibits diuretic and renal protective effects in rats.,356.46
KY 02111,[1118807-13-8],O=C(CCC3=CC=C(OC)C(OC)=C3)NC2=NC1=CC=C(Cl)C=C1S2,Stem Cells,Stem Cell Differentiation,Cardiomyocyte Stem Cells,Inhibits canonical Wnt signaling. Promotes differentiation of human ESCs and iPSCs into cardiomyocytes,Promotes differentiation of human ESCs and iPSCs into cardiomyocytes when used after day three in culture; differentiation efficiency increases when used after initial culture with CHIR 99021 (Cat. No. 4423). Induces downregulation of Wnt signaling target genes; inhibits canonical Wnt signaling in a manner distinct from other known Wnt inhibitors.,376.86
Kynurenic acid,[492-27-3],OC(=O)C1=CC(O)=C2C=CC=CC2=N1,Ion Channels,Ligand-gated Ion Channels,Glutamate (Ionotropic) Receptors,Broad spectrum glutamatergic antagonist,Broad spectrum EAA antagonist. Putative GPR35 ligand. Sodium Salt also available.,189.17
L 760735,[188923-01-5],FC(C=C3)=CC=[C@@]3[C@@H]1N(CC4=C(CN(C)C)NN=N4)CCO[C@@H]1O[C@H](C)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2.Cl,7-TM Receptors,Peptide Receptors,Tachykinin Receptors,High affinity NK1 antagonist,High affinity NK1 receptor antagonist (IC50 = 0.19 nM at human NK1 receptors). Selective (>300-fold) over h-NK2 and h-NK3 receptors. Exhibits anxiolytic and antidepressant-like effects. Orally active.,611.98
"L-152,804",[6508-43-6],CC1(C)CC(=O)C(C2C3=C(OC4=C2C(=O)CC(C)(C)C4)C=CC=C3)C(=O)C1,7-TM Receptors,Peptide Receptors,NPY Receptors,"Potent, selective non-peptide NPY Y5 receptor antagonist","Potent, selective non-peptide neuropeptide Y Y5 receptor antagonist (Ki = 26 nM for hY5). Displays > 300-fold selectivity over hY1, hY2, and hY4 receptors. Causes weight loss in diet-induced obese mice by modulating food intake and energy expenditure. Centrally active upon oral administration in vivo.",366.46
"L-161,982",[147776-06-5],CCCCC1=NN(C(=O)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)S(=O)(=O)NC(=O)C1=C(C)C=CS1)C1=C(C=CC=C1)C(F)(F)F,7-TM Receptors,Prostanoid Receptors,,Selective EP4 receptor antagonist,"EP4 receptor antagonist that is selective over all other members of the prostanoid receptor family (Ki values are 0.024, 0.71, 1.90, 5.10, 5.63, 6.74, 19 and 23 muM for human EP4, TP, EP3, DP, FP, IP, EP1 and EP2 receptors respectively). Suppresses PGE2-induced bone formation in rats and prevents the nociceptive response induced by misoprostol in formalin-injected mice.",654.72
"L-165,041",[79558-09-1],CCCC1=C(O)C(CC=O)=CC=C1OCCCOC1=CC=C(OCC(O)=O)C=C1,Nuclear Receptors,PPARs,PPARdelta Receptors,Potent PPARdelta agonist,"Potent PPARdelta agonist (Ki = 6 nM); displays > 100-fold selectivity for both mouse and human PPARdelta receptors over other subtypes. Raises plasma cholesterol levels in vivo, in insulin-resistant db/db mice. Neuroprotective in models of cerebral infarction and Parkinson's disease.",402.44
"L-168,049",[191034-25-0],CCCOC1=C(C=C(Br)C=C1)C1=C(NC(=C1)C1=CC=C(Cl)C=C1)C1=CC=NC=C1,7-TM Receptors,Peptide Receptors,Glucagon and Related Peptide Receptors,"Potent, orally active human glucagon receptor antagonist","Very potent and selective, non-competitive antagonist of the human glucagon receptor (hGR). Binds with high affinity to human GR (IC50 = 3.7 nM), and moderate affinity to murine and canine GRs (IC50 values are 63 and 60 nM respectively). In contrast, displays poor affinity for rat, guinea pig, and rabbit glucagon receptors (IC50 > 1 muM). In functional studies, inhibits glucagon-stimulated cAMP synthesis in CHO cells expressing hGR (IC50 = 41 nM), and in murine liver membranes. Orally active in vivo.",467.79
"L-368,899 hydrochloride",[160312-62-9],CC(C=CC=C2)=C2N1CCN(S(CC34CCC(C(C)4C)C[C@@H]3NC([C@@H](N)CCS(C)(=O)=O)=O)(=O)=O)CC1.Cl,7-TM Receptors,Peptide Receptors,Oxytocin Receptors,"Potent, non-peptide oxytocin receptor antagonist","Potent, non-peptide and orally active oxytocin receptor antagonist (IC50 = 8.9 nM) that displays > 40-fold selectivity over vasopressin V1a and V2 receptors (IC50 values are 370 and 570 nM respectively). Antagonizes oxytocin-induced uterine contractions in vitro and in vivo.",591.23
"L-655,708",[130477-52-0],O=C(N3[C@]([H])2CCC3)C4=C(C=CC(OC)=C4)N1C2=C(C(OCC)=O)N=C1,Ion Channels,Ligand-gated Ion Channels,GABAA and A-rho Receptors,Benzodiazepine inverse agonist; selective for alpha5-containing GABAA receptors,"Potent, selective inverse agonist for the benzodiazepine site of GABAA receptors containing the alpha5 subunit (Ki = 0.45 nM). Displays 50-100-fold selectivity over GABAA receptors containing alpha1, alpha2, alpha3 or alpha6 subunits in combination with beta3 and gamma2. Enhances LTP in a mouse hippocampal slice model and increases spatial learning, without displaying proconvulsant activity.",341.37
"L-701,324",[142326-59-8],OC1=C(C(=O)NC2=CC(Cl)=CC=C12)C1=CC=CC(OC2=CC=CC=C2)=C1,Ion Channels,Ligand-gated Ion Channels,Glutamate (Ionotropic) Receptors,NMDA antagonist; acts at glycine site,An orally active and long acting anticonvulsant with high affinity and selectivity for the glycine site on the NMDA receptor.,363.8
"L-732,138",[148451-96-1],O=C(N[C@@](CC2=CNC3=C2C=CC=C3)([H])C(OCC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)=O)C,7-TM Receptors,Peptide Receptors,Tachykinin Receptors,Potent and selective NK1 antagonist,Potent and highly selective competitive tachykinin NK1 receptor antagonist (IC50 = 2.3 nM).,472.39
"L-755,507",[159182-43-1],O=S(C1=CC=C(NC(NCCCCCC)=O)C=C1)(NC2=CC=C(CCNC[C@H](O)COC3=CC=C(O)C=C3)C=C2)=O,7-TM Receptors,Adrenergic Receptors,Adrenergic Beta-3 Receptors,Very potent and selective beta3 partial agonist,"Potent beta3-adrenergic receptor partial agonist > 1000-fold selective over beta1- and beta2-adrenoceptors (EC50 values are 0.43, 580 and > 10000 nM for activation of cloned human beta3-, beta1- and beta2-adrenoceptors respectively). Stimulates lipolysis in rhesus adipocytes in vitro (EC50 = 3.9 nM). Enhances CRISPR-mediated homology-directed repair (HDR) efficiency 2-3-fold for large fragments and ~9-fold for point mutations, in human induced pluripotent stem cells (iPSCs).",584.73
"L-798,106",[244101-02-8],O=C(NS(C4=C(OC)C=CC(Br)=C4)(=O)=O)/C=C/C1=CC=CC=C1CC3=CC2=CC=CC=C2C=C3,7-TM Receptors,Prostanoid Receptors,,Potent and highly selective EP3 antagonist,"Potent and highly selective prostanoid EP3 receptor antagonist (Ki values are 0.3, 916, > 5000 and > 5000 nM at EP3, EP4, EP1 and EP2 respectively). Attenuates sulprostone-induced inhibition of EFS-evoked twitch and contractile responses in vivo.",536.44
"L-838,417",[286456-42-6],FC(C=CC(F)=C3)=C3C1=NN=C2N1N=C(OCC4=NC=NN4C)C(C(C)(C)C)=C2,Ion Channels,Ligand-gated Ion Channels,GABAA and A-rho Receptors,GABAA partial agonist; displays subtype selectivity,"Subtype-selective GABAA receptor partial agonist. Selectively binds to alpha1, alpha2, alpha3 and alpha5 subunits (Ki values are 0.79, 0.67, 0.67 and 2.25 nM respectively) but displays no efficacy at alpha1 (alpha1-sparing). Exhibits non-sedative anxiolytic, antinociceptive and anti-inflammatory activity in vivo.",399.4
L-NAME hydrochloride,[51298-62-5],N=C(NCCC[C@H](N)C(OC)=O)N[N+]([O-])=O.Cl,Enzymes,Synthases/Synthetases,NO Synthases,Non-selective NOS inhibitor,NO synthase inhibitor.,269.69
Lazabemide hydrochloride,[103878-83-7],Cl.NCCNC(=O)C1=NC=C(Cl)C=C1,Enzymes,Oxygenases/Oxidases,Monoamine Oxidase,Selective MAO-B inhibitor,"Selective, reversible monoamine oxidase B (MAO-B) inhibitor (IC50 values are 0.03 and > 100 muM for MAO-B and MAO-A respectively). Inhibits monoamine uptake at high concentrations (IC50 values are 86, 123 and > 500 muM for noradrenalin, serotonin and dopamine uptake respectively).",236.1
LB 42708,[226929-39-1],O=C(N4CCOCC4)C1=CN(CC5=CN=CN5CC6=CC=C(Br)C=C6)C=C1C2=CC=CC3=C2C=CC=C3,Enzymes,Transferases,Protein Prenyltransferases,Selective farnesyltransferase (FTase) inhibitor,"Selective inhibitor of farnesyltransferase (FTase). Blocks farnesylation of H-Ras, N-Ras and K-Ras4B (IC50 values are 0.8, 1.2 and 2.0 nM respectively). Displays >50,000-fold selectivity for FTase over geranylgeranyltransferase (GGTase) I. Inhibits VEGF-induced Ras activation; suppresses angiogenesis in vivo and in vitro (IC50 = 75 nM). Orally active.",555.46
LDN 209929 dihydrochloride,[1784281-97-5],ClC1=CC=C(N=C(C=CC(OC)=C3)C3=C2SCCCN)C2=C1.Cl.Cl,Enzymes,Kinases,Haspin,Potent and selective haspin inhibitor,Potent and selective haspin kinase inhibitor (IC50 = 55 nM). Displays 180-fold selectivity over DYRK2.,405.77
LDN 27219,[312946-37-5],O=C(NN)CSC(N1C2=CC=CC=C2)=NC3=C(C(C4=CC=CC=C4)=CS3)C1=O,Enzymes,Transferases,Other Transferases,Transglutaminase 2 (TG2) inhibitor; reversible,Transglutaminase 2 (TG2) inhibitor (IC50 = 0.25 muM). Binds at GTPase site; reversible.,408.5
LE 135,[155877-83-1],CN1C2=C(C=C3C(=C2)C(C)(C)CCC3(C)C)N=C(C2=CC=C(C=C2)C(O)=O)C2=C1C=CC=C2,Nuclear Receptors,Retinoic Acid Receptors,,Selective RARbeta antagonist,Retinoic acid antagonist; displays moderate selectivity for RARbeta over RARalpha (Ki values are 0.22 and 1.4 muM respectively). Highly selective over RARgamma and RXRalpha. Inhibits human HL-60 leukemia cell differentiation induced by Am80 (IC50 = 150 nM).,438.56
Letrozole,[112809-51-5],N#CC(C=C2)=CC=C2C(N3N=CN=C3)C1=CC=C(C#N)C=C1,Enzymes,Cytochrome P450,,"Potent, reversible non-steroidal aromatase inhibitor","Potent, reversible non-steroidal aromatase inhibitor (IC50 = 11.5 nM). Displays antitumor effects in several animal models. Suppresses the endogenous aromatase-induced proliferation of MCF-7 cells.",285.3
Levetiracetam,[102767-28-2],O=C1N([C@@H](CC)C(N)=O)CCC1,Signal Transduction,"Translocation, Exocytosis & Endocytosis",,Antiepileptic; binds SV2A,Antiepileptic that displays distinctive properties from conventional antiepileptic drugs. Displays potent seizure protection in animal models of chronic epilepsy but lacks activity in acute seizure models. Binds synaptic vesicle protein 2A (SV2A) and inhibits Na+-dependent Cl-/HCO3- exchange. Deuterated analog also available.,170.21
Levonorgestrel,[797-63-7],[H][C@@]12C(CC[C@]3([H])[C@@]([H])2CC[C@@]4(CC)[C@]([H])3CC[C@@](C#C)4O)=CC(CC1)=O,Nuclear Receptors,Progesterone Receptor,,Synthetic progesterone analog,"Synthetic progesterone analog; binds to the progesterone receptor (relative binding affinities are < 0.02, 7.5, 17, 58 and 323 % for estrogen receptors, glucocorticoid receptors, mineralocorticoid receptors, androgen receptors and progesterone receptors respectively).",312.45
LH 846,[639052-78-1],O=C(CC3=CC=CC=C3)NC(S2)=NC1=C2C=C(C)C(Cl)=C1,Enzymes,Kinases,Casein Kinase 1,Selective casein kinase 1delta inhibitor,"Selective inhibitor of casein kinase (CK) 1delta (IC50 values are 290 nM, 1.3 muM and 2.5 muM for CK1delta, epsilon and alpha); displays no inhibitory activity at CK2. Inhibits CK1delta-dependent phosphorylation and degradation of PER1 protein. Shown to lengthen the circadian period in U2OS cells, with minimal effect on amplitude.",316.81
Liarozole dihydrochloride,,ClC1=CC(C(N4C=CN=C4)C2=CC=C(N=CN3)C3=C2)=CC=C1.Cl.Cl,Nuclear Receptors,Retinoic Acid Receptors,,Blocks retinoic acid metabolism,"Cytochrome P450 inhibitor. Inhibits several cytochrome P450 enzymes including aromatase (CYP19) and retinoic acid 4-hydroxylase (CYP26). Blocks retinoic acid metabolism (retinoic acid metabolism blocking agent, RAMBA). Displays antitumor activity against androgen-dependent and independent rat prostate carcinomas.",381.69
Licarbazepine,[29331-92-8],NC(N2C1=CC=CC=C1C(O)CC3=C2C=CC=C3)=O,Ion Channels,Sodium Channels,Voltage-gated Sodium Channels,Active metabolite of oxcarbazepine (Cat. No. 3864),Active metabolite of oxcarbazepine (Cat. No. 3864). Produces dose-dependent inhibition of glutamatergic excitatory postsynaptic potentials (EPSPs). Displays anticonvulsant activity; exhibits minor potentiation of GABAA receptor currents.,254.28
LIMKi 3,[1338247-35-0],FC(F)C1=NN(C2=C(Cl)C=CC=C2Cl)C(C3=CN=C(NC(C(C)C)=O)S3)=C1,Enzymes,Kinases,LIMK,Potent LIM kinase inhibitor; antitumor,Potent LIM kinase inhibitor (IC50 values are 7 and 8 nM for LIMK1 and LIMK2 respectively). Inhibits cofilin phosphorylation in MDA-MB-231 breast cancer cells. Reduces MDA-MB-231 tumor cell invasion in a 3D matrigel invasion assay.,431.29
Linezolid,[165800-03-3],FC1=CC(N3C[C@H](CNC(C)=O)OC3=O)=CC=C1N2CCOCC2,Cell Metabolism,"DNA, RNA and Protein Synthesis",,Antibiotic; inhibits protein synthesis in gram-positive bacteria,Oxazolidinone antibiotic. Inhibits bacterial protein synthesis prior to chain initiation. Displays potent antibacterial activity against a variety of multidrug-resistant gram-positive microbes in vitro and in vivo.,337.35
Linopirdine dihydrochloride,[113168-57-3],Cl.Cl.O=C1N(C2=CC=CC=C2C1(CC1=CC=NC=C1)CC1=CC=NC=C1)C1=CC=CC=C1,Ion Channels,Potassium Channels,Voltage-Gated Potassium Channels,KV7 (KCNQ) channel blocker,Blocker of KV7 (KCNQ) voltage-gated potassium channels; blocks KV7.1 + 7.3 (KCNQ2 + 3) / M-currents (IC50 = 4 - 7 muM) and KV7.1 (KCNQ1) homomeric channels (IC50 = 8.9 muM). Augments hippocampal ACh release and is a cognitive enhancer following oral administration in vivo.,464.39
LM 22A4,[37988-18-4],O=C(NCCO)C1=CC(C(NCCO)=O)=CC(C(NCCO)=O)=C1,Enzyme-Linked Receptors,Receptor Tyrosine Kinases (RTKs),Trk Receptors,Potent TrkB agonist,"Potent tropomyosin-related kinase B (TrkB) agonist. Induces activation of Trk, Akt and ERK in mouse hippocampus and striatum and exhibits neurotrophic activity. Reverses deficits in motor task learning in mice following traumatic brain injury; restores respiratory function in a rat model of Rett syndrome.",339.34
LMK 235,[1418033-25-6],CC1=CC(C(NOCCCCCC(NO)=O)=O)=CC(C)=C1,Enzymes,Histone Deacetylases,Class II HDACs,Selective HDAC4/HDAC5 inhibitor,"Selective histone deacetylase (HDAC) 4 and HDAC5 inhibitor (IC50 values are 4.22, 11.9, 55.7, 320, 852, 881, and 1278 nM for HDAC 5, 4, 6, 1, 11, 2, and 8, respectively). Demonstrates activity against chemoresistant cancer cell lines in an MTT assay for cytotoxicity using human ovarian cancer cell lines A2780 and cisplatin resistant A2780CisR (IC50 = 0.49 and 0.32 muM respectively).",294.35
Lomeguatrib,[192441-08-0],NC1=NC(OCC3=CC(Br)=CS3)=C2C(N=CN2)=N1,Enzymes,Transferases,DNA Methyltransferases,MGMT inhibitor,Inhibitor of O6-methylguanine-DNA methyltransferase (MGMT); (IC50 = 0.009 muM in cell-free extracts from HeLa S3 cells); attenuates MGMT activity in vitro and in vivo. Enhances the antitumor activity of temozolomide (Cat. No. 2706) in both human melanoma and MCF-7 xenografts.,326.17
Lonidamine,[50264-69-2],OC(=O)C1=NN(CC2=C(Cl)C=C(Cl)C=C2)C2=CC=CC=C12,Enzymes,Kinases,Hexokinases,Mitochondrial hexokinase inhibitor,Anticancer and antispermatogenic agent in vitro and in vivo. Inhibits cellular energy metabolism in some cells via inhibition of mitochondrial hexokinase. Also blocks CFTR Cl- channels in vitro.,321.16
Loratidine,[79794-75-5],CCOC(=O)N1CC\C(CC1)=C1/C2=NC=CC=C2CCC2=C1C=CC(Cl)=C2,7-TM Receptors,Histamine Receptors,Histamine H1 Receptors,Peripheral H1 antagonist; antiallergic agent,Peripheral histamine H1 receptor antagonist (Ki = 35 nM); devoid of central effects. Orally active antiallergic agent.,382.88
Losartan potassium,[124750-99-8],CCCCC1=NC(Cl)=C(CO)N1CC2=CC=C(C3=CC=CC=C3C(N=N4)=NN4[K])C=C2,7-TM Receptors,Peptide Receptors,Angiotensin Receptors,"Selective, non-peptide AT1 antagonist",Selective non-peptide angiotensin AT1 receptor antagonist. Inhibits the contractile effects of angiotensin II on rabbit aorta and jugular vein (pA2 = 8.27). Orally active antihypertensive agent.,461
Lovastatin,[75330-75-5],[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,Enzymes,Reductases,HMG-CoA Reductase,Potent HMG-CoA reductase inhibitor,"Potent, competitive inhibitor of HMG-CoA reductase (Ki = 0.6 nM) therefore decreases cholesterol biosynthesis, in vitro and in vivo. Indirectly inhibits Rho-GTPase activity by depleting intracellular pool of isoprene residues. Decreases CDK2, 4, 6 and cyclin E levels and induces G1 arrest and apoptosis in tumor cell lines in vitro. Inactive lactam prodrug of lovastatin hydroxy acid, naturally bioactivated in vivo following oral administration.",404.54
LRRK2-IN-1,[1234480-84-2],O=C2C3=C(C=CC=C3)N(C)C1=NC(NC4=C(OC)C=C(C(N5CCC(N6CCN(C)CC6)CC5)=O)C=C4)=NC=C1N2C,Enzymes,Kinases,RIP kinase family,Potent and selective LRRK2 inhibitor,"Potent and selective inhibitor of leucine-rich repeat kinase 2 (LRRK2). Inhibits both G2019S mutant and wild-type LRRK2 kinase activity (IC50 values are 6 and 13 nM respectively). Causes dephosphorylation, ubiquitination and degradation of LRRK2. Inhibits IFN-gamma-induced monocyte maturation in vitro.",570.09
LSN 2463359,[1401031-52-4],O=C(NC(C)C)C(C=C2)=NC=C2C#CC1=CC=NC=C1,7-TM Receptors,Glutamate (Metabotropic) Receptors,Glutamate (Metabotropic) Group I Receptors,Potent and selective positive allosteric modulator of mGlu5 receptors,"Potent and selective positive allosteric modulator at the mGlu5 receptor (EC50 = 24 nM). Has no activity at mGlu1-4, mGlu8 and GABAB receptors. Reverses methylazoxymethanol acetate (MAM)-induced deficits in reversal learning memory and normalizes SDZ 220-581 and RO 63-1908-induced alterations in instrumental responses in rat models. Promotes wakefulness in vivo. Brain penetrant and orally active.",265.31
Lu AA 47070,[913842-25-8],FC1=C(NC(CC(C)(C)C)=O)C(F)=CC(C(/N=C2\SC=CN2COP(O)(O)=O)=O)=C1,7-TM Receptors,Adenosine Receptors,Adenosine A2A Receptors,Prodrug of a potent and selective adenosine A2A receptor antagonist,"Prodrug of a potent and selective adenosine A2A receptor antagonist (Ki values are 5.9, 260, 410 and <10,000 nM for A2A, A2B, A1 and A3 receptors respectively. Reverses parkinsonian motor impairment and motivational effects produced by dopamine D2 receptor blockade in rats. Orally bioavailable.",463.39
LUF 5834,[333962-91-7],NC1=NC(SCC3=NC=CN3)=C(C#N)C(C2=CC=C(O)C=C2)=C1C#N,7-TM Receptors,Adenosine Receptors,Adenosine A2A Receptors,Potent adenosine A2A and A2B receptor partial agonist,Potent A2A and A2B adenosine receptor partial agonist ( Ki = 2.6 nM and EC50 = 12 nM respectively). Also exhibits selectivity for A1 over A3 (Ki values are 2.6 and 538 nM respectively).,348.38
LY 2183240,[874902-19-9],CN(C)C(=O)N1N=NN=C1CC1=CC=C(C=C1)C1=CC=CC=C1,Transporters,Neurotransmitter Transporters,Cannabinoid Transporters,Highly potent anandamide uptake inhibitor; also inhibits FAAH,"Novel and highly potent blocker of anandamide uptake (IC50 = 270 pM). Inhibits fatty acid amide hydrolase (FAAH) activity (IC50 = 12.4 nM). Following i.p. administration in rats, increases brain anandamide concentration and exerts antinociceptive effects in formalin model of pain.",307.35
LY 225910,[133040-77-4],CC(C)OC1=CC=CC(=C1)N1C(CCC2=CNC3=CC=C(Br)C=C23)=NC2=C(C=CC=C2)C1=O,7-TM Receptors,Peptide Receptors,Cholecystokinin (CCK) Receptors,Potent CCK2 antagonist,Potent CCK2 receptor antagonist (IC50 = 9.3 nM for inhibition of 125I-labeled CCK-8 sulfate binding at mouse brain membranes).,502.41
LY 2365109 hydrochloride,[1779796-27-8],CC(C)(C)C1=C(OCCN(C)CC(O)=O)C=CC(C2=CC(OCO3)=C3C=C2)=C1.Cl,Transporters,Neurotransmitter Transporters,Glycine Transporters,Potent and selective GlyT1 inhibitor,"Potent and selective glycine transporter 1 (GlyT1) inhibitor (IC50 values are 15.8 and > 30 000 nM at GlyT1 and GlyT2 respectively). Induces a dose-dependent elevation in CSF levels of glycine, and enhances acetylcholine and dopamine release in the striatum and prefrontal cortex respectively. Produces profound locomotor and respiratory impairments at higher doses.",421.91
