commercial_name,alternative_name,clinical_phase,mechanism_of_action,target,disease_area,indication
Duloxetine HCl,Cymbalta ,Launched,norepinephrine reuptake inhibitor|serotoninÐnorepinephrine reuptake inhibitor (SNRI),HTR2A|HTR2C|HTR6|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression|generalized anxiety disorder (GAD)|muscle pain|peripheral neuropathy
dutasteride,,Launched,5 alpha reductase inhibitor,SRD5A1|SRD5A2,urology,benign prostatic hyperplasia (BPH)
Dutasteride,,Launched,5 alpha reductase inhibitor,SRD5A1|SRD5A2,urology,benign prostatic hyperplasia (BPH)
Dyclonine HCl,,Launched,sodium channel blocker,SCN10A|SCN5A,neurology/psychiatry,local anesthetic
Dyphylline,Dilor ,Launched,adenosine receptor antagonist|phosphodiesterase inhibitor,ADORA1|ADORA2A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B,pulmonary,asthma|bronchitis|emphysema
EBASTINE,,Launched,histamine receptor antagonist,CYP3A4|HRH1,allergy,allergic rhinitis|urticaria
Econazole nitrate,Spectazole ,Launched,lanosterol demethylase inhibitor|sterol demethylase inhibitor,CYP51A1|NPY1R|NPY2R|TRPM2|TRPV5,infectious disease,tinea pedis|tinea cruris|tinea corporis|tinea versicolor|cutaneous candidiasis
Edaravone,MCI-186,Launched,nootropic agent,BCL2,neurology/psychiatry,stroke
EFAVIRENZ,,Launched,HIV protease inhibitor,CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2D6|CYP3A4,infectious disease,human immunodeficiency virus (HIV-1)
Ellagic acid,,Phase 2,glutathione transferase inhibitor|non-nucleoside reverse transcriptase inhibitor,CA1|CA12|CA14|CA2|CA3|CA4|CA5A|CA5B|CA6|CA7|CA9|CSNK2A1|GSK3B|PRKACA|PRKCA|PRKCB|SQLE|SYK,,
Eltrombopag,SB-497115-GR,Launched,thrombopoietin receptor agonist,MPL,hematology|infectious disease,anemia|hepatitis C|thrombocytopenia
Elvitegravir,GS-9137,Launched,HIV integrase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
Emtricitabine,Emtriva,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
Enalapril maleate,Vasotec ,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|congestive heart failure|left ventricular systolic dysfunction (LVSD)
Enalapril maleate,Vasotec,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|congestive heart failure|left ventricular systolic dysfunction (LVSD)
Enalaprilat dihydrate,,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension
Enalaprilate,,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension
ENOXACIN,,Launched,topoisomerase inhibitor,TOP2A,infectious disease,urinary tract infections|gonorrhea
Enoxacin,Penetrex ,Launched,topoisomerase inhibitor,TOP2A,infectious disease,urinary tract infections|gonorrhea
Enrofloxacin,,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections|gram-negative bacterial infections
Entacapone,,Launched,catechol O methyltransferase inhibitor,COMT,neurology/psychiatry,Parkinson's Disease
Entecavir hydrate,,Launched,DNA replication inhibitor|nucleoside reverse transcriptase inhibitor,,infectious disease,hepatitis B
EPALRESTAT,,Launched,aldose reductase inhibitor,AKR1B1,nephrology,diabetic nephropathy
Epalrestat,,Launched,aldose reductase inhibitor,AKR1B1,nephrology,diabetic nephropathy
EPINASTINE HCl,,Launched,histamine receptor antagonist,ADRA1A|ADRA2A|HRH1|HRH2|HTR2A|HTR7,ophthalmology,conjunctivitis
Epinephrine bitartrate,Adrenalinium ,Launched,adrenergic receptor agonist|neurotransmitter,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH|TNF,cardiology|allergy|pulmonary,cardiac arrest|anaphylactic shock|asthma
Epinephrine bitartrate,Adrenalinium ,Launched,adrenergic receptor agonist|neurotransmitter,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH|TNF,cardiology|allergy|pulmonary,cardiac arrest|anaphylactic shock|asthma
Epirubicin Hydrochloride,,Launched,topoisomerase inhibitor,CHD1|TOP2A,oncology,breast cancer
EPLERENONE,,Launched,cytochrome P450 inhibitor,NR3C2,cardiology,congestive heart failure|hypertension
Eplerenone,,Launched,cytochrome P450 inhibitor,NR3C2,cardiology,congestive heart failure|hypertension
Erdosteine,,Launched,mucolytic agent,,pulmonary|infectious disease,bronchitis|cough suppressant|chronic obstructive pulmonary disease (COPD)|respiratory tract infections
ERLOTINIB HCl,,Launched,EGFR inhibitor,EGFR|NR1I2,oncology,non-small cell lung cancer (NSCLC)|pancreatic cancer
Erlotinib HCl,,Launched,EGFR inhibitor,EGFR|NR1I2,oncology,non-small cell lung cancer (NSCLC)|pancreatic cancer
Erythromycin,E-Mycin,Launched,NFkB pathway inhibitor,MLNR,infectious disease,listeria|respiratory tract infections|skin infections|syphilis|amebiasis|pelvic inflammatory disease|chlamydia|diphtheria|erythrasma
Esomeprazole magnesium,Nexium ,Launched,ATPase inhibitor,ATP4A,gastroenterology,gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|peptic ulcer disease (PUD)
Esomeprazole magnesium,Nexium ,Launched,ATPase inhibitor,ATP4A,gastroenterology,gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|peptic ulcer disease (PUD)
Estradiol,,Launched,estrogen receptor agonist,ESR1|ESR2|GPER1|KCNMA1|NR1I2,endocrinology,contraceptive
Estradiol valerate,,Launched,estrogen receptor agonist,ESR1,oncology|endocrinology|obstetrics/gynecology,prostate cancer|hypoestrogenism|menopause|vaginal atrophy
Estriol,,Launched,estrogen receptor agonist,ESR1|ESR2,endocrinology|obstetrics/gynecology|infectious disease,menopause|vaginal atrophy|urinary tract infections
Estrone,,Launched,estrogen receptor agonist|estrogenic hormone,ESR1|ESR2,endocrinology,
ETHAMBUTOL DiHCl,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,tuberculosis
Ethinyl-estradiol,,Launched,estrogen receptor agonist|estrogenic hormone,ESR1|ESR2|NR1I2,endocrinology,contraceptive
Ethionamide,,Launched,mycolic synthesis inhibitor,,infectious disease,tuberculosis
Ethisterone,,Launched,progestogen hormone,TYR,,
ETHYL ESTRENOL,,Withdrawn,,,,
Etidronate,Didronel ,Launched,bone resorption inhibitor,ATP6V1A|PTPRS,endocrinology|orthopedics,Paget's disease|heterotopic ossification
Etodolac,Lodine,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2|RXRA,rheumatology,osteoarthritis|rheumatoid arthritis
Etomidate,,Launched,GABA receptor modulator,ADRA2B|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ,neurology/psychiatry,general anaesthetic
Etoposide,VP-16,Launched,topoisomerase inhibitor,TOP2A|TOP2B,oncology,non-small cell lung cancer (NSCLC)
ETORICOXIB,,Launched,cyclooxygenase inhibitor,PTGS2,rheumatology,rheumatoid arthritis|psoriatic arthritis|osteoarthritis|gout|ankylosing spondylitis
Etravirine,TMC125,Launched,non-nucleoside reverse transcriptase inhibitor,CYP2C19|CYP2C9|CYP3A4,infectious disease,human immunodeficiency virus (HIV-1)
Evista,Raloxifene Hydrochloride ,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),ESR1|ESR2,orthopedics|oncology,osteoporosis|breast cancer
EXALAMIDE,,Launched,membrane permeability inhibitor,,,
EXCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,Launched,selective serotonin reuptake inhibitor (SSRI),ADRA1A|CHRM1|HRH1|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression|generalized anxiety disorder (GAD)
Exemestane,,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
EZETIMIBE,,Launched,cholesterol inhibitor|Niemann-Pick C1-like 1 protein antagonist,ANPEP|NPC1L1|SOAT1,endocrinology|metabolism,hyperlipidemia|hypercholesterolemia|sitosterolemia
Ezetimibe,Zetia,Launched,cholesterol inhibitor|Niemann-Pick C1-like 1 protein antagonist,ANPEP|NPC1L1|SOAT1,endocrinology|metabolism,hyperlipidemia|hypercholesterolemia|sitosterolemia
FAMCICLOVIR,,Launched,DNA polymerase inhibitor,,dental|infectious disease,cold sore|genitial herpes|shingles
Febuxostat,Uloric ,Launched,xanthine oxidase inhibitor,XDH,nephrology,hyperuricemia
Felbamate,,Launched,glutamate receptor antagonist,GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B,neurology/psychiatry,epilepsy
Felodipine,Plendil,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1H|CACNA1S|CACNA2D1|CACNA2D2|CACNB2|CALM1|CFTR|NR3C2|PDE1A|PDE1B|TNNC1|TNNC2,cardiology,hypertension
FENBENDAZOLE,,Launched,tubulin polymerization inhibitor,TUBB,infectious disease,gastrointestinal parasites|gastrointestinal roundworms
Fenbendazole,Panacur,Launched,tubulin polymerization inhibitor,TUBB,infectious disease,gastrointestinal parasites|gastrointestinal roundworms
Fenofibrate,"Tricor, Trilipix",Launched,PPAR receptor agonist,MMP25|PPARA,endocrinology,hypercholesterolemia|hypertriglyceridemia
FENOPROFEN Ca,Fenoprofen,Launched,prostaglandin inhibitor,PTGS1|PTGS2|SLC5A8,rheumatology,rheumatoid arthritis|osteoarthritis
Fenoprofen calcium,,Launched,prostaglandin inhibitor,PTGS1|PTGS2|SLC5A8,rheumatology,rheumatoid arthritis|osteoarthritis
Fenoprofen calcium hydrate,,Launched,prostaglandin inhibitor,PTGS1|PTGS2|SLC5A8,rheumatology,rheumatoid arthritis|osteoarthritis
Fenticonazole nitrate,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,vulvovaginal candidiasis
FEPRAZONE,,,,,neurology/psychiatry,analgesic
Fesoterodine fumarate,Toviaz ,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,urology,urinary incontinence
Fexofenadine HCl,,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis|urticaria
FINASTERIDE,,Launched,5 alpha reductase inhibitor,AKR1D1|SRD5A1|SRD5A2,endocrinology,androgenetic alopecia
Finasteride,,Launched,5 alpha reductase inhibitor,AKR1D1|SRD5A1|SRD5A2,endocrinology,androgenetic alopecia
FK-506,Tacrolimus ,Launched,calcineurin inhibitor,FKBP1A,transplant,organ rejection
FLAVOXATE,,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2,urology,urinary incontinence|interstitial cystitis (IC)|urethritis|prostatitis
FLEROXACIN,,Launched,topoisomerase inhibitor,,infectious disease|gastroenterology,gonorrhea|enteritis|diarrhea|respiratory tract infections
Fleroxacin,Quinodis,Launched,topoisomerase inhibitor,,infectious disease|gastroenterology,gonorrhea|enteritis|diarrhea|respiratory tract infections
Floxuridine,,Launched,DNA synthesis inhibitor,TYMS,oncology,colorectal cancer
Flubendazole,Flutelmium ,Launched,tubulin polymerization inhibitor,TUBB,infectious disease,gastrointestinal parasites
FLUCONAZOLE,,Launched,sterol demethylase inhibitor,CYP51A1,infectious disease,esophageal candidiasis|meningitis
Fluconazole,,Launched,sterol demethylase inhibitor,CYP51A1,infectious disease,esophageal candidiasis|meningitis
FLUCYTOSINE,,Launched,other antifungal,DNMT1,infectious disease,bacterial septicemia|endocarditis|urinary tract infections|meningitis
Flucytosine,Ancobon,Launched,other antifungal,DNMT1,infectious disease,bacterial septicemia|endocarditis|urinary tract infections|meningitis
Fludarabine,Fludara ,Launched,ribonucleotide reductase inhibitor,ADA|RRM1|RRM2,hematologic malignancy,chronic lymphocytic leukemia (CLL)
Fludarabine Phosphate,Fludara,Launched,ribonucleotide reductase inhibitor,DCK|POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,hematologic malignancy,chronic lymphocytic leukemia (CLL)
Flumazenil,,Launched,benzodiazepine receptor antagonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ,neurology/psychiatry,sedative
Flumequine,,Launched,topoisomerase inhibitor,,infectious disease,urinary tract infections
Flunarizine 2HCl,,Launched,calcium channel blocker,CACNA1G|CACNA1H|CACNA1I|CALM1|HRH1,neurology/psychiatry|cardiology,migraine headache|vertigo|peripheral artery disease (PAD)
FLUNISOLIDE,,Launched,cytochrome P450 inhibitor,NR3C1,allergy,allergic rhinitis
Flunixin meglumin,,Launched,prostanoid receptor antagonist,,,
FLUOCINOLONE ACETONIDE,,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,dermatology,seborrheic dermatitis
Fluocinolone acetonide,Flucort-N ,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,dermatology,seborrheic dermatitis
Fluocinonide,Vanos ,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6|SMO,dermatology,seborrheic dermatitis|eczema
Fluoxetine  HCl,,Launched,selective serotonin reuptake inhibitor (SSRI),ANO1|HTR2B|SLC6A4,neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|bulimia nervosa|panic disorders|bipolar disorder
Flurbiprofen,Ansaid,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,rheumatoid arthritis|osteoarthritis
FLUTICASONE PROPIONATE,,Launched,glucocorticoid receptor agonist,NR3C1|NR3C2|PGR|PLA2G4A,dermatology,corticosteroid-responsive dermatoses
Fluticasone propionate,"Flonase, Veramyst ",Launched,glucocorticoid receptor agonist,NR3C1|NR3C2|PGR|PLA2G4A,dermatology,corticosteroid-responsive dermatoses
FLUVASTATIN Na,,Launched,HMGCR inhibitor,HMGCR,endocrinology|cardiology,hypercholesterolemia|congenital heart defects
Fluvastatin sodium,Lescol,Launched,HMGCR inhibitor,HMGCR,endocrinology|cardiology,hypercholesterolemia|congenital heart defects
Fluvoxamine maleate,,Launched,selective serotonin reuptake inhibitor (SSRI),SLC6A4,neurology/psychiatry,obsessive compulsive disorder (OCD)
FORMESTANE,,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
Formoterol hemifumarate,,Launched,adrenergic receptor agonist,ADRB2,pulmonary,asthma|chronic obstructive pulmonary disease (COPD)|bronchospasm
FORTIMYCIN,,,,,infectious disease,
Fosaprepitant dimeglumine,,Launched,tachykinin antagonist,TACR1,gastroenterology,nausea|vomiting
FOSCARNET Na,,Launched,DNA polymerase inhibitor,,infectious disease,cytomegalovirus retinitis|acquired immunodeficiency syndrome (AIDS)|virus herpes simplex (HSV)
FOSINOPRIL Na,,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|congestive heart failure
FROPENEM,FAROPENEM,Launched,lactamase inhibitor,,infectious disease|pulmonary|otolaryngology,pneumonia|bronchitis|skin infections|urinary tract infections|sinusitis
FUDOSTEIN,fudosteine,Launched,mucolytic agent,,pulmonary,chest congestion
Fudosteine,,Launched,mucolytic agent,,pulmonary,chest congestion
Fulvestrant,Faslodex,Launched,estrogen receptor antagonist,ESR1|ESR2|GPER1,oncology,breast cancer
Furosemide,Lasix,Launched,diuretic,CA2|GPR35|SLC12A1|SLC12A2,cardiology|rheumatology,edema|hypertension|congestive heart failure|nephrotic syndrome
Gabapentin,Neurontin ,Launched,calcium channel blocker,ADORA1|CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1E|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B,infectious disease|neurology/psychiatry,virus herpes simplex (HSV)|shingles|seizures|restless leg syndrome
Gabapentin,Neurontin,Launched,calcium channel blocker,ADORA1|CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1E|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B,infectious disease|neurology/psychiatry,virus herpes simplex (HSV)|shingles|seizures|restless leg syndrome
Gabexate mesylate,,Launched,serine protease inhibitor,PRSS1|TPSAB1,gastroenterology,pancreatitis
Gadodiamide,Omniscan,Launched,radiopaque medium,,radiology,MRI contrast agent
Gallamine triethiodide,Flaxedil,Launched,acetylcholine receptor antagonist,ACHE|CHRM2|CHRNA1|CHRNA2,neurology/psychiatry,muscle relaxant
Ganciclovir,,Launched,DNA polymerase inhibitor,,infectious disease,cytomegalovirus (CMV)
GATIFLOXACIN,,Withdrawn,bacterial DNA gyrase inhibitor,,,
Gatifloxacin,,Withdrawn,bacterial DNA gyrase inhibitor,,,
GEFITINIB,,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC)
Gefitinib,Iressa,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC)
Gemcitabine HCl,Gemzar ,Launched,ribonucleotide reductase inhibitor,CMPK1|RRM1|RRM2|TYMS,oncology,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)|pancreatic cancer
Gemcitabine HCl,Gemzar,Launched,ribonucleotide reductase inhibitor,CMPK1|RRM1|RRM2|TYMS,oncology,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)|pancreatic cancer
GEMCITABINE HYDROCHLORIDE,,Launched,ribonucleotide reductase inhibitor,CMPK1|RRM1|RRM2|TYMS,oncology,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)|pancreatic cancer
GEMFIBROZIL,,Launched,lipoprotein lipase activator,LPL|PPARA|SLCO1B1|SLCO1B3|SLCO2B1,endocrinology|cardiology,hyperlipidemia|coronary heart disease
Gemfibrozil,Lopid,Launched,lipoprotein lipase activator,LPL|PPARA|SLCO1B1|SLCO1B3|SLCO2B1,endocrinology|cardiology,hyperlipidemia|coronary heart disease
Genipin,,Preclinical,choleretic agent,,,
Geniposide,,Preclinical,GLP receptor agonist,GLP1R,,
Geniposidic acid,,Preclinical,cyclooxygenase inhibitor,,,
Genistein,,Phase 2/Phase 3,tyrosine kinase inhibitor,CFTR|ESR1|ESR2|ESRRA|ESRRB|ESRRG|NCOA1|NCOA2|PPARG|PTK2B|TOP2A|TRPC5,,
GENTAMYCIN SULPHATE,,Launched,bacterial 50S ribosomal subunit inhibitor,HSPA8|LRP2,infectious disease|critical care,bone and joint infections|endocarditis|pelvic inflammatory disease|meningitis|pneumonia|urinary tract infections|sepsis
Gestodene,,Launched,contraceptive agent,,endocrinology,contraceptive
Gimeracil,,Launched,dihydropyrimidine dehydrogenase inhibitor,DPYD,oncology,gastric adenocarcinoma
Ginkgolide A,,Preclinical,GABA receptor antagonist,GLRA1|GLRB,,
GLIMEPIRIDE,,Launched,insulin secretagogue,ABCC8|KCNJ1|KCNJ11,endocrinology,diabetes mellitus
Glimepiride,,Launched,insulin secretagogue,ABCC8|KCNJ1|KCNJ11,endocrinology,diabetes mellitus
Glipizide,Glucotrol,Launched,sulfonylurea,ABCC8|KCNJ10|KCNJ11|PPARG,endocrinology,diabetes mellitus|hyperglycemia
Gliquidone,,Launched,sulfonylurea,ABCC8|KCNJ10|KCNJ8,endocrinology,diabetes mellitus
Glyburide,Diabeta,Launched,ATP channel blocker|insulin secretagogue|sulfonylurea,ABCA1|ABCB11|ABCC8|ABCC9|CFTR|CPT1A|KCNJ1|KCNJ11|KCNJ5|KCNJ8|SLCO2B1,endocrinology,diabetes mellitus|hyperglycemia
Granisetron HCl,,Launched,serotonin receptor antagonist,HTR3A,gastroenterology,nausea|vomiting
Guaifenesin,Guaiphenesin,Launched,expectorant,,pulmonary,cough suppressant
Haloperidol,Haldol,Launched,dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|DRD5|GRIN2B|HRH1|HTR1A|HTR1D|HTR2A|HTR2B|HTR7|KCNH1,neurology/psychiatry,schizophrenia|Tourette's disorder
HARRINGTONINE,,Phase 3,protein synthesis inhibitor,,,
hexoprenaline sulphate,,Launched,adrenergic receptor agonist,ADRB2,pulmonary,asthma
Hydralazine hydrochloride,,Launched,vasodilator,AOC3|P4HA1,cardiology,hypertension
Hydrochlorothiazide,,Launched,thiazide diuretic,CA1|CA12|CA2|CA4|CA9|KCNMA1|SLC12A3,cardiology,hypertension|congestive heart failure
Hydrocortisone,Cortisol,Launched,glucocorticoid receptor agonist,,dermatology|neurology/psychiatry,eczema|psoriasis|seborrheic dermatitis|itching
Hydroxyurea,Cytodrox,Launched,ribonucleotide reductase inhibitor,RRM1|RRM2|RRM2B,hematologic malignancy|oncology,chronic myeloid leukemia (CML)|head and neck squamous cell carcinoma (HNSCC)
Hygromycin B,,Preclinical,polypeptide synthesis inhibitor,,,
IAMRINONE,AMRINONE,Launched,phosphodiesterase inhibitor,PDE3A|PDE3B|PDE4B|TNF,cardiology,congestive heart failure
IAMRINONE,AMRINONE,Launched,phosphodiesterase inhibitor,PDE3A|PDE3B|PDE4B|TNF,cardiology,congestive heart failure
IBANDRONATE Na,,Launched,bone resorption inhibitor,FDPS,orthopedics,osteoporosis
Ibandronate sodium,,Launched,bone resorption inhibitor,FDPS,orthopedics,osteoporosis
Ibuprofen,Advil ,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry|rheumatology|otolaryngology|obstetrics/gynecology|endocrinology|dental,headache|muscle pain|rheumatoid arthritis|backache|common cold|menstrual pain|fever|toothache
Ibuprofen,Advil,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry|rheumatology|otolaryngology|obstetrics/gynecology|endocrinology|dental,headache|muscle pain|rheumatoid arthritis|backache|common cold|menstrual pain|fever|toothache
Idarubicin HCl,,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy,acute myeloid leukemia (AML)
Idebenone,,Launched,calcium channel modulator,,neurology/psychiatry|ophthalmology,Alzheimer's disease|Friedreich's ataxia|Leber hereditary optic neuropathy (LHON)
Idoxuridine,,Launched,DNA directed DNA polymerase inhibitor,,infectious disease,virus herpes simplex (HSV)
IFOSFAMIDE,,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP3A4|CYP3A5|CYP3A7|PTGS1,oncology|urology,testicular carcinoma|hemorrhagic cystitis
Ifosfamide,,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP3A4|CYP3A5|CYP3A7|PTGS1,oncology|urology,testicular carcinoma|hemorrhagic cystitis
Iloperidone,Fanapt ,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA2C|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR2A|HTR6|HTR7,neurology/psychiatry,schizophrenia
Imatinib,Gleevec,Launched,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor,ABL1|CSF1R|DDR1|KIT|NTRK1|PDGFRA|PDGFRB|RET,hematologic malignancy|oncology,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)|myelodysplastic diseases (MDS)|aggressive systemic mastocytosis (ASM)|hypereosinophilic syndrome (HES)|chronic eosinophilic leukemia (CEL)|dermatofibrosarcoma protuberans (DFSP)|gastrointestinal stromal tumors (GIST)
Imatinib,Gleevec,Launched,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor,ABL1|CSF1R|DDR1|KIT|NTRK1|PDGFRA|PDGFRB|RET,hematologic malignancy|oncology,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)|myelodysplastic diseases (MDS)|aggressive systemic mastocytosis (ASM)|hypereosinophilic syndrome (HES)|chronic eosinophilic leukemia (CEL)|dermatofibrosarcoma protuberans (DFSP)|gastrointestinal stromal tumors (GIST)
IMATINIB MESYLATE,,Launched,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor,ABL1|CSF1R|DDR1|KIT|NTRK1|PDGFRA|PDGFRB|RET,hematologic malignancy|oncology,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)|myelodysplastic diseases (MDS)|aggressive systemic mastocytosis (ASM)|hypereosinophilic syndrome (HES)|chronic eosinophilic leukemia (CEL)|dermatofibrosarcoma protuberans (DFSP)|gastrointestinal stromal tumors (GIST)
IMIPENEM,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,pneumonia|urinary tract infections|intra-abdominal infections|gynecologic infections|bacterial septicemia|bone and joint infections|skin infections|endocarditis
IMIQUIMOD,,Launched,interferon inducer|toll-like receptor agonist,TLR7|TLR8,dermatology|infectious disease|oncology,actinic keratosis (AK)|genital warts|basal cell carcinoma (BCC)
Imiquimod,,Launched,interferon inducer|toll-like receptor agonist,TLR7|TLR8,dermatology|infectious disease|oncology,actinic keratosis (AK)|genital warts|basal cell carcinoma (BCC)
Indacaterol Maleate,,Launched,adrenergic receptor agonist,ADRB1|ADRB2,pulmonary,chronic obstructive pulmonary disease (COPD)
Indapamide,Lozol,Launched,thiazide diuretic,KCNE1|KCNQ1|SLC12A3,cardiology,hypertension|congestive heart failure
INDINAVIR SULPHATE,,Launched,HIV protease inhibitor,CYP3A4|CYP3A5|CYP3A7,infectious disease,human immunodeficiency virus (HIV-1)
Indomethacin,"Indocid, Indocin",Launched,cyclooxygenase inhibitor,GLO1|PLA2G2A|PPARA|PPARG|PTGDR2|PTGR2|PTGS1|PTGS2|SLC46A1,rheumatology|orthopedics,rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|bursitis|tendinitis
Inulin,,,,,,
Ipratropium bromide,,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,pulmonary,bronchospasm|chronic obstructive pulmonary disease (COPD)|bronchitis|emphysema
IRBESARTAN,,Launched,angiotensin receptor antagonist,AGTR1|JUN|SLC10A1,cardiology|nephrology,hypertension|diabetic nephropathy
Irbesartan,Avapro ,Launched,angiotensin receptor antagonist,AGTR1|JUN|SLC10A1,cardiology|nephrology,hypertension|diabetic nephropathy
Irinotecan,,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,colorectal cancer
Irinotecan,,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,colorectal cancer
IRINOTECAN HCl,,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,colorectal cancer
Irsogladine,,Launched,phosphodiesterase inhibitor,PDE4A,gastroenterology,peptic ulcer disease (PUD)
Isoniazid,Tubizid,Launched,FABI inhibitor,CYP1A2|CYP2C19|CYP2C8|CYP2E1|CYP3A4,infectious disease,tuberculosis
Isoprenaline hydrochloride,,Launched,adrenergic receptor agonist,ADRB1|ADRB2|ADRB3|MAPK1|PIK3R1|PIK3R2|PIK3R3,cardiology|pulmonary,bradycardia|heart block|asthma
Isotretinoin,,Launched,retinoid receptor agonist,RARA|RARB|RARG,dermatology,acne vulgaris (AV)
ISRADIPINE,,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1H|CACNA1S|CACNA2D1|CACNA2D2|CACNB2,cardiology,hypertension
